Model,Ticker,RMSE,MAPE,R2,DA,Coverage_90pct,Avg_Width_USD
VanillaRNN + MC,MSFT,162.06382415872636,40.055564197463205,-9.822490389512405,48.30699774266365,100.0,507.9171247516667
QuantileLSTM,TSLA,33.327477489805645,6.466262989947007,0.6635267462722836,51.0158013544018,96.84684684684684,132.66525268554688
SlimLSTM + MC,MSFT,108.67442186921892,24.780208459635546,-3.8664214829051984,46.50112866817156,94.8198198198198,321.9091456418424
QuantileLSTM,AMD,14.447085614214288,6.252591576530561,0.7476196940295885,49.887133182844245,90.09009009009009,42.305023193359375
VanillaRNN + MC,GOOGL,50.848039291858,29.212955512363397,-3.8273104041524064,49.887133182844245,88.51351351351352,148.99203646857455
QuantileLSTM,MSFT,79.8731699369011,17.253668820747453,-1.6287959985803369,48.081264108352144,88.51351351351352,226.99497733932364
VanillaRNN + MC,AMD,55.30170523471877,35.447060404520094,-2.698043502145996,46.04966139954853,88.28828828828829,165.58254333496097
QuantileLSTM,AAPL,56.40206205420785,25.277025782422022,-4.366946650057891,51.24153498871332,87.61261261261262,167.74644145243877
SlimLSTM + MC,AMZN,12.395093382814313,4.543988895759269,0.8499888824342043,40.85778781038375,86.26126126126125,26.515493246198787
SlimLSTM + MC,TSLA,22.38497362579372,4.819607138279567,0.8482045218957823,49.887133182844245,85.8108108108108,41.50952520834433
VanillaRNN + MC,AAPL,47.48334616387441,20.918827597956486,-2.8038199035412155,52.37020316027088,85.8108108108108,139.35223110439537
VanillaRNN + MC,AMZN,47.949612257022906,22.6583115223758,-1.2448846982582014,47.62979683972912,85.8108108108108,131.2637368387789
SlimLSTM + MC,AMD,57.17933322083047,33.13390789312972,-2.9534217110210608,51.46726862302483,85.36036036036036,162.7014671098864
VanillaRNN + MC,AVGO,79.63022215451977,52.12497770388297,-2.8284936487030428,53.49887133182845,83.55855855855856,226.21997480418236
QuantileLSTM,ORCL,61.16314351027665,42.65705683117324,-4.606562944373542,50.56433408577878,83.33333333333334,182.42638893368004
VanillaRNN + MC,ORCL,58.90787612677845,40.58619406105821,-4.200724351247638,47.17832957110609,82.88288288288288,174.24511114464153
VanillaRNN + MC,TSLA,54.239405127771626,18.80149094787465,0.1087993474669455,48.98419864559819,82.65765765765765,133.58687220839764
SlimLSTM + MC,ORCL,48.96096543670939,31.438537081770125,-2.592667719606025,44.92099322799097,82.43243243243244,138.02482035645494
VanillaRNN + MC,META,143.6683877651456,26.148265149781004,-0.4112763502214718,49.66139954853273,82.2072072072072,390.5459148207656
SlimLSTM + MC,AVGO,70.25674852239726,42.60304281511811,-1.9802189362814129,52.59593679458239,77.02702702702703,191.6450075550766
SlimLSTM + MC,META,114.59755182407206,18.056912638759197,0.1020744961382921,49.43566591422122,76.8018018018018,288.0138449055439
QuantileLSTM,GOOGL,18.984121871166085,8.245417761224875,0.3271196748907725,49.20993227990971,75.0,39.11773300170898
QuantileLSTM,AVGO,72.38355622074731,41.62827236582812,-2.1633839648143853,53.72460496613996,73.64864864864865,191.8030091626795
SlimLSTM + MC,AAPL,39.80881716862933,15.511925072114964,-1.673596484404484,51.91873589164786,72.97297297297297,106.20424040579586
SlimLSTM + MC,GOOGL,17.878810222538707,7.561974198166347,0.4031928295964166,45.82392776523702,72.52252252252252,41.10564905011977
